Name,Style,Strengths,Weaknesses
SuYoung You,technician,"well-rounded skill set, high fight IQ, effective at adapting strategy","can be too cautious, struggles against aggressive fighters, may lack knockout power"
Ozzy Diaz,brawler,"explosive power, aggressive fighting style, strong chin","defensive lapses, limited technical striking, can be outmaneuvered by skilled opponents"
Kai Asakura,striker,"explosive speed, powerful striking, effective counterattacks","defensive vulnerabilities, limited grappling, stamina concerns"
Navajo Stirling,submission specialist,"high-level grappling, excellent positional control, creative submission techniques","striking defense, reliance on ground game, potential cardio issues"
Bruno Lopes,brawler,"aggressive fighting style, knockout power, relentless pressure","defensive lapses, susceptibility to takedowns, cardio management"
Nicolle Caliari,technician,"well-rounded skill set, strategic fight IQ, effective striking and grappling balance","occasional overthinking, slower pace, vulnerability to high-pressure fighters"
Jacobe Smith,pressure wrestler,"strong takedown ability, relentless pace, effective ground control","striking limitations, potential for fatigue, reliance on grappling"
Marco Tulio,striker,"powerful punches, excellent footwork, strong defensive skills","limited grappling, can be overly aggressive, struggles against pressure fighters"
Austin Bashi,submission specialist,"high-level grappling, exceptional technique, effective in transitions","struggles on feet, can be outpaced, relies heavily on ground game"
Billy Elekana,brawler,"high volume striking, relentless pressure, strong chin","defensive lapses, lacks technical precision, can tire quickly"
Azamat Bekoev,pressure wrestler,"strong takedowns, relentless pace, effective ground control","limited striking, can be countered, stamina issues in later rounds"
Bogdan Grad,technician,"sharp striking, tactical awareness, solid fight IQ","can be too cautious, struggles against aggressive opponents, less effective in clinch"
Quillan Salkilld,striker,"powerful punches, excellent footwork, strong defensive skills","limited grappling, susceptibility to leg kicks, inconsistent stamina"
Jonathan Micallef,submission specialist,"high-level grappling, slick transitions, effective in scrambles","struggles with striking exchanges, can be taken down, slow starter"
Kody Steele,pressure wrestler,"relentless pace, strong takedowns, effective ground control","limited striking range, can be countered, gas tank issues in later rounds"
Colby Thicknesse,brawler,"aggressive striking, high volume output, strong chin","defensive vulnerabilities, can be outmaneuvered, lacks finesse"
Aleksandre Topuria,well-rounded fighter,"versatile striking, solid grappling, high fight IQ","can be overly aggressive, occasionally lacks patience, defensive lapses"
Tallison Teixeira,striker,"powerful striking, effective distance control, strong chin","limited grappling, can be overly aggressive, stamina issues"
Elijah Smith,submission specialist,"high-level grappling, excellent positional awareness, relentless pressure on the ground","struggles with striking exchanges, can be taken down, slower pace"
Jose Delgado,brawler,"high volume striking, toughness, ability to absorb damage","defensive lapses, lacks technical finesse, cardio concerns in later rounds"
Eric McConico,pressure wrestler,"strong takedown ability, relentless pace, effective ground control","limited striking skills, can be outpaced, vulnerability to submissions"
Austin Vanderford,all-rounder,"well-rounded skill set, effective in both striking and grappling, good fight IQ","inconsistent finishing ability, can be outmuscled, sometimes hesitant to engage"
Nick Klein,striker,"powerful punches, effective footwork, strong clinch game","vulnerable to takedowns, limited grappling defense, inconsistent stamina"
Julius Walker,pressure wrestler,"relentless pace, excellent takedown ability, strong ground control","striking defense issues, struggles against counter-strikers, cardio management concerns"
Mario Pinto,submission specialist,"high-level grappling, creative submission attempts, strong positional awareness","striking vulnerability, slow start in fights, reliance on ground game"
Djorden Santos,brawler,"aggressive striking, knockout power, high pressure","defensive gaps, limited technical striking, susceptibility to counterattacks"
Yuneisy Duben,technician,"precision striking, tactical fight IQ, versatile skill set","lack of finishing ability, can be overly cautious, struggles against aggressive opponents"
Josias Musasa,striker,"powerful striking, excellent footwork, strong clinch game","defensive grappling vulnerabilities, stamina concerns, limited ground game"
Kevin Vallejos,submission specialist,"high-level grappling, exceptional submission skills, good fight IQ","striking defense issues, slower pace, less effective in stand-up exchanges"
Diyar Nurgozhay,pressure wrestler,"relentless takedown attempts, strong top control, cardio for extended grappling","striking output limitations, susceptibility to counter-strikes, over-reliance on wrestling"
Andrey Pulyaev,brawler,"aggressive fighting style, knockout power, resilience in exchanges","defensive gaps, low technical striking, can be outmaneuvered"
Alexia Thainara,technician,"precise striking, tactical awareness, well-rounded skill set","occasional hesitation, struggles against aggressive opponents, limited knockout power"
Ateba Gautier,striker,"powerful striking, excellent footwork, strong defensive skills","limited grappling, can be overly aggressive, stamina issues"
David Martinez,submission specialist,"high-level grappling, exceptional submission skills, good fight IQ","striking defense vulnerabilities, struggles against powerful strikers, can be taken down"
Uran Satybaldiev,pressure wrestler,"relentless takedown attempts, cardio, ground control","striking is underdeveloped, can be countered effectively, susceptible to submissions"
Daniel Frunza,brawler,"high volume striking, toughness, ability to absorb damage","lacks technical precision, poor defensive grappling, can be outmaneuvered"
Torrez Finney,technician,"technical striking, solid defensive skills, adaptability in fights","can be hesitant to engage, struggles against aggressive fighters, may lack knockout power"
Luis Gurule,striker,"powerful punches, excellent footwork, strong defensive skills","limited grappling, can be overly aggressive, stamina issues"
Patricio Freire,well-rounded,"high fight IQ, versatile striking, strong grappling","occasionally overcommits, can be too patient, injury-prone"
Malcolm Wellmaker,submission specialist,"high-level grappling, excellent transitions, strong submission game","striking defense is lacking, can struggle against pressure, cardio concerns"
Gauge Young,brawler,"aggressive striking, knockout power, relentless pressure","defensive vulnerabilities, limited technical skills, can gas out quickly"
Yadier del Valle,pressure wrestler,"strong takedowns, effective ground control, relentless pace","striking is underdeveloped, can be taken down, relies heavily on grappling"
